"join_no","name","avg_assets","asset_growth_num","asset_growth_pct","num_groups_added","total_members_added","min_members_added","avg_members_added","max_members_added"
32,"STATE EMPLOYEES",4684585580.78,607478780,0.143506156181846,9,192102,5,21344.6666666667,188000
78,"JUSTICE",831966316,0,0,1,2000,2000,2000,2000
83,"THREE RIVERS",1502540322.6,467912209,0.371231230495463,292,60033,1,205.592465753425,11874
92,"EDUCATIONAL",1418676054,39658296,0.0282173746092322,3,2214,76,738,1420
105,"GTE",2352205699.21,112957856,0.048887025935852,19,5567,30,293,951
235,"STATE DEPARTMENT",2376244465,0,0,1,8000,8000,8000,8000
316,"LAFAYETTE",797053433.67,117306430,0.163186435554051,3,465,15,155,400
321,"UNITED STATES SENATE",1094173905.4,22461,2.05279840075345e-05,5,2883,57,576.6,1000
426,"AFFINITY",3575108497.6,129910872,0.0371702687357112,40,4156,3,103.9,1500
476,"NUSENDA",2808909907.44,432046193,0.167147093350791,9,1094,7,121.555555555556,405
513,"SOUTH CAROLINA",2111865718,234459480,0.120246470464392,8,1851,21,231.375,600
524,"CAPITAL EDUCATORS",808800036,0,0,1,14600,14600,14600,14600
534,"FARMERS INSURANCE GROUP",1251114027,0,0,1,293834,293834,293834,293834
625,"LANGLEY",3433720130.67,307852834,0.095355203066664,3,308,48,102.666666666667,166
644,"PEN AIR",2144478361,0,0,1,45,45,45,45
677,"UNIVERSITY",3237024470,0,0,1,400,400,400,400
702,"MIDWEST AMERICA",717032339,55460016,0.0797075193066941,4,7080,931,1770,4179
803,"CORNING",1560486782,0,0,1,6,6,6,6
820,"EVANSVILLE TEACHERS",2171053798.75,394286395,0.202154674757338,560,3012,1,5.37857142857143,389
835,"HAWAII STATE",1916555321.83,283592484,0.15718409395305,93,30261,1,325.387096774194,10034
872,"HAWAIIUSA",1950033453.33,299063983,0.166472767663163,415,1315,1,3.16867469879518,71
883,"ALOHA PACIFIC",1067508425.54,141000149,0.142031728855438,123,9842,1,80.0162601626016,2164
1075,"ADVANCIAL",1705184283.88,151403080,0.0908422814630303,26,14739,1,566.884615384615,3600
