"join_no","name","avg_assets","asset_growth_num","asset_growth_pct","num_groups_added","total_members_added","min_members_added","avg_members_added","max_members_added"
125,"PITTSBURGH FIREFIGHTER'S",83983633.6,2540043,0.0309467505840613,5,483,30,96.6,303
197,"GEORGIA POWER NORTHWEST",62189837,0,0,1,8,8,8,8
1063,"UTICA GAS & ELECTRIC EMP",79386958,0,0,4,101,1,25.25,50
1124,"G.A.P.",55849354.5,3948947,0.0732984820885265,2,41,16,20.5,25
1196,"MEMBER'S 1ST OF NJ",70301136.25,8746828,0.136043595278474,4,990,40,247.5,650
1260,"NORTHEAST FAMILY",97321867,5393067,0.0575404782312927,3,191,1,63.6666666666667,187
1402,"LOUISIANA USA",88605202,0,0,1,50,50,50,50
1587,"FREEDOM UNITED",75357532,0,0,1,3,3,3,3
1608,"BAY ATLANTIC",67181441,6803728,0.106675652615256,2,112,7,56,105
2682,"PROSPECTORS FCU",83850792,0,0,2,131,28,65.5,103
3275,"SUMMIT",50045925,0,0,1,17,17,17,17
3697,"LIVE LIFE",62486337,13398342,0.240168894759773,2,30,12,15,18
3720,"ST. THOMAS",73357330.89,5449202,0.077148864875608,9,168,4,18.6666666666667,50
3852,"TECHNICOLOR",93269618,0,0,4,167,10,41.75,77
3891,"CUTTING EDGE",50944067,2967118,0.0613030485039479,7,312,3,44.5714285714286,95
3995,"A C M G",77243696.57,-800817,-0.0103520770333304,14,871,1,62.2142857142857,800
4631,"ROCKET CITY",53639737,0,0,1,12,12,12,12
5336,"GRANCO",68914527,0,0,1,23,23,23,23
5364,"FIRST EAGLE",96534348,0,0,1,15,15,15,15
6456,"GREEN RIVER AREA",50339139,0,0,1,500,500,500,500
6471,"SECURED ADVANTAGE",72553555,1516032,0.0211159637648239,2,37,7,18.5,30
6565,"WASHINGTON AREA TEACHERS",67212024,0,0,1,85,85,85,85
6765,"MENLO SURVEY",69112561.4,6665218,0.100204366623653,5,445,25,89,150
7414,"INGERSOLL-RAND",63527440.5,-113415,-0.00178369929561684,2,129,34,64.5,95
7945,"CHABOT",66842574.5,2426259,0.0369690616765082,2,1540,5,770,1535
9165,"BOURNS EMPLOYEES",73365879,0,0,1,15,15,15,15
10098,"SEAPORT",86648326,0,0,1,48,48,48,48
10405,"FIVE STAR OF MARYLAND",60306140,0,0,1,4,4,4,4
10477,"CAROLINA",59776932,0,0,1,30,30,30,30
12562,"SOUTHCOAST",52380483,3876766,0.076855761358072,2,3800,1900,1900,1900
13291,"ELEMENT",54768413,0,0,7,80,4,11.4285714285714,25
14359,"LOWER EAST SIDE PEOPLE'S",70772685.67,1281529,0.0183289409946314,3,2575,25,858.333333333333,2500
16231,"WELCOME",90584447.25,3106569,0.0345913030610201,4,3913,4,978.25,2700
17277,"CENTURYFIRST",53745213,0,0,1,415,415,415,415
20811,"ELECTEL COOPERATIVE",55650001,0,0,1,11000,11000,11000,11000
