"join_no","name","avg_assets","asset_growth_num","asset_growth_pct","num_groups_added","total_members_added","min_members_added","avg_members_added","max_members_added"
309,"ALBANY FIREMENS",22065838,0,0,1,750,750,750,750
455,"PRR SOUTH FORK",48449058.5,3320256,0.0722561483173776,8,2267,10,283.375,781
489,"UNITED POLICE",49755986,0,0,1,88,88,88,88
689,"EDISTO",22732813,765292,0.0342409969464659,2,489,230,244.5,259
1317,"PENLANCO",24869099,0,0,1,25,25,25,25
1462,"CENTRAL JERSEY POLICE & FIRE",33781239,0,0,2,232,27,116,205
1583,"BRIDGETON ONIZED",40052137,0,0,3,352,12,117.333333333333,300
1857,"FRESNO GRANGERS",22976941,1477170,0.066424424539296,2,4,1,2,3
2665,"LM",47699663,0,0,2,135,15,67.5,120
2706,"VALEX",31128460.78,4504259,0.156536373152358,9,73,2,8.11111111111111,15
2888,"KRD",15558051,0,0,2,16,7,8,9
2914,"BRIGHTVIEW",21777611,0,0,1,100,100,100,100
3014,"TRI-VALLEY SERVICE",17559937,0,0,1,2,2,2,2
3143,"CADETS",14789254,0,0,2,125,25,62.5,100
3576,"GLENDIVE BN",25937663,0,0,1,50,50,50,50
4291,"GREATER WYOMING",22879003,0,0,4,135,6,33.75,65
4591,"ESPEECO",10177621.18,435449,0.042994650167689,11,114,7,10.3636363636364,17
4598,"G.H.S.",49292578,0,0,1,1,1,1,1
4639,"MORRISONS COVE 1ST",46464501,3153444,0.0690391963944414,4,29,3,7.25,12
4689,"N.F.G. #2",25566659,0,0,2,20,10,10,10
4748,"EMERALD EMPIRE",26043542,0,0,2,36,6,18,30
4958,"MAPLE",43436684,0,0,1,30,30,30,30
5014,"VICTORIA TEACHERS",15395515,0,0,1,5265,5265,5265,5265
5519,"PINPOINT",25551257,0,0,6,34,1,5.66666666666667,14
5974,"UNITED CATHOLICS",41413330.5,5165868,0.134773704315739,4,1852,42,463,1500
5991,"HARRISON",16338031,0,0,1,50,50,50,50
6094,"FINANCIAL ACCESS",35353636.67,1561754,0.0459493734086751,3,265,14,88.3333333333333,237
6300,"PINE",48326007.86,4489571,0.0962285705663202,7,282,4,40.2857142857143,90
6427,"BAPTIST HEALTH",36692643,0,0,1,40,40,40,40
6624,"U. S. I.",15932221,0,0,1,120,120,120,120
6805,"PENNTECH EMPLOYEES",10737025,0,0,1,2,2,2,2
7005,"RIVER REGION",34592969.8,1463977,0.0430488042021704,5,37,5,7.4,14
7474,"SPECIAL METALS",11234366,0,0,1,50,50,50,50
7759,"WAKEFERN",12199455,0,0,1,500,500,500,500
7796,"ROCKLAND EMPLOYEES",39841455,0,0,2,18,8,9,10
8376,"THE ANDOVERS",32623490,0,0,1,725,725,725,725
8465,"LATROBE AREA HOSPITAL",10806431,0,0,1,5,5,5,5
9136,"LOCKPORT SCHOOLS",18646870,0,0,1,48,48,48,48
10689,"TWO RIVERS",13124015,0,0,1,2000,2000,2000,2000
11582,"VERITAS",41605305,0,0,2,501,201,250.5,300
11669,"BACK MOUNTAIN",10174698,0,0,1,37,37,37,37
11706,"WYOCHEM",24838400,0,0,1,240,240,240,240
12591,"THE HEART CENTER",19524857,0,0,1,100,100,100,100
13144,"PRESTON",30206722,0,0,1,4,4,4,4
15031,"WHITE COUNTY",15174539,0,0,2,56,6,28,50
17767,"CAROLINA COOPERATIVE",44225552,0,0,1,8,8,8,8
18036,"THE NEW HORIZONS",11846804,815378,0.0712798149157519,2,25,10,12.5,15
21296,"DESERT RIVERS",47628933,0,0,1,7,7,7,7
24025,"RESOURCE",38216144,0,0,1,31,31,31,31
26456,"CLEAN ENERGY",16835738.43,3971622,0.274593266680743,7,27904,353,3986.28571428571,20831
