"join_no","name","avg_assets","asset_growth_num","asset_growth_pct","num_groups_added","total_members_added","min_members_added","avg_members_added","max_members_added","cu_size","cu_size2"
125,"PITTSBURGH FIREFIGHTER'S",83983633.6,2540043,0.0309467505840613,5,483,30,96.6,303,"large","small"
197,"GEORGIA POWER NORTHWEST",62189837,0,0,1,8,8,8,8,"large","small"
309,"ALBANY FIREMENS",22065838,0,0,1,750,750,750,750,"medium","small"
455,"PRR SOUTH FORK",48449058.5,3320256,0.0722561483173776,8,2267,10,283.375,781,"medium","small"
489,"UNITED POLICE",49755986,0,0,1,88,88,88,88,"medium","small"
689,"EDISTO",22732813,765292,0.0342409969464659,2,489,230,244.5,259,"medium","small"
1063,"UTICA GAS & ELECTRIC EMP",79386958,0,0,4,101,1,25.25,50,"large","small"
1124,"G.A.P.",55849354.5,3948947,0.0732984820885265,2,41,16,20.5,25,"large","small"
1196,"MEMBER'S 1ST OF NJ",70301136.25,8746828,0.136043595278474,4,990,40,247.5,650,"large","small"
1260,"NORTHEAST FAMILY",97321867,5393067,0.0575404782312927,3,191,1,63.6666666666667,187,"large","small"
1317,"PENLANCO",24869099,0,0,1,25,25,25,25,"medium","small"
1402,"LOUISIANA USA",88605202,0,0,1,50,50,50,50,"large","small"
1416,"LITTLE ROCK",1723767,0,0,1,40,40,40,40,"small","small"
1462,"CENTRAL JERSEY POLICE & FIRE",33781239,0,0,2,232,27,116,205,"medium","small"
1478,"COLFAX POWER PLANT EMPLOYEES",8602911,0,0,1,1,1,1,1,"small","small"
1583,"BRIDGETON ONIZED",40052137,0,0,3,352,12,117.333333333333,300,"medium","small"
1587,"FREEDOM UNITED",75357532,0,0,1,3,3,3,3,"large","small"
1608,"BAY ATLANTIC",67181441,6803728,0.106675652615256,2,112,7,56,105,"large","small"
1741,"EAGLE",2150579,0,0,1,9,9,9,9,"small","small"
1857,"FRESNO GRANGERS",22976941,1477170,0.066424424539296,2,4,1,2,3,"medium","small"
2665,"LM",47699663,0,0,2,135,15,67.5,120,"medium","small"
2682,"PROSPECTORS FCU",83850792,0,0,2,131,28,65.5,103,"large","small"
2706,"VALEX",31128460.78,4504259,0.156536373152358,9,73,2,8.11111111111111,15,"medium","small"
2888,"KRD",15558051,0,0,2,16,7,8,9,"medium","small"
2914,"BRIGHTVIEW",21777611,0,0,1,100,100,100,100,"medium","small"
3014,"TRI-VALLEY SERVICE",17559937,0,0,1,2,2,2,2,"medium","small"
3143,"CADETS",14789254,0,0,2,125,25,62.5,100,"medium","small"
3275,"SUMMIT",50045925,0,0,1,17,17,17,17,"large","small"
3576,"GLENDIVE BN",25937663,0,0,1,50,50,50,50,"medium","small"
3697,"LIVE LIFE",62486337,13398342,0.240168894759773,2,30,12,15,18,"large","small"
3720,"ST. THOMAS",73357330.89,5449202,0.077148864875608,9,168,4,18.6666666666667,50,"large","small"
3852,"TECHNICOLOR",93269618,0,0,4,167,10,41.75,77,"large","small"
3891,"CUTTING EDGE",50944067,2967118,0.0613030485039479,7,312,3,44.5714285714286,95,"large","small"
3995,"A C M G",77243696.57,-800817,-0.0103520770333304,14,871,1,62.2142857142857,800,"large","small"
4036,"WATER'S EDGE",5695382,0,0,1,86,86,86,86,"small","small"
4291,"GREATER WYOMING",22879003,0,0,4,135,6,33.75,65,"medium","small"
4591,"ESPEECO",10177621.18,435449,0.042994650167689,11,114,7,10.3636363636364,17,"medium","small"
4598,"G.H.S.",49292578,0,0,1,1,1,1,1,"medium","small"
4631,"ROCKET CITY",53639737,0,0,1,12,12,12,12,"large","small"
4639,"MORRISONS COVE 1ST",46464501,3153444,0.0690391963944414,4,29,3,7.25,12,"medium","small"
4689,"N.F.G. #2",25566659,0,0,2,20,10,10,10,"medium","small"
4748,"EMERALD EMPIRE",26043542,0,0,2,36,6,18,30,"medium","small"
4958,"MAPLE",43436684,0,0,1,30,30,30,30,"medium","small"
5014,"VICTORIA TEACHERS",15395515,0,0,1,5265,5265,5265,5265,"medium","small"
5336,"GRANCO",68914527,0,0,1,23,23,23,23,"large","small"
5364,"FIRST EAGLE",96534348,0,0,1,15,15,15,15,"large","small"
5519,"PINPOINT",25551257,0,0,6,34,1,5.66666666666667,14,"medium","small"
5649,"WINSLOW SCHOOL EMPLOYEES",4430895,0,0,1,151,151,151,151,"small","small"
5974,"UNITED CATHOLICS",41413330.5,5165868,0.134773704315739,4,1852,42,463,1500,"medium","small"
5991,"HARRISON",16338031,0,0,1,50,50,50,50,"medium","small"
6094,"FINANCIAL ACCESS",35353636.67,1561754,0.0459493734086751,3,265,14,88.3333333333333,237,"medium","small"
6300,"PINE",48326007.86,4489571,0.0962285705663202,7,282,4,40.2857142857143,90,"medium","small"
6427,"BAPTIST HEALTH",36692643,0,0,1,40,40,40,40,"medium","small"
6456,"GREEN RIVER AREA",50339139,0,0,1,500,500,500,500,"large","small"
6471,"SECURED ADVANTAGE",72553555,1516032,0.0211159637648239,2,37,7,18.5,30,"large","small"
6565,"WASHINGTON AREA TEACHERS",67212024,0,0,1,85,85,85,85,"large","small"
6624,"U. S. I.",15932221,0,0,1,120,120,120,120,"medium","small"
6765,"MENLO SURVEY",69112561.4,6665218,0.100204366623653,5,445,25,89,150,"large","small"
6805,"PENNTECH EMPLOYEES",10737025,0,0,1,2,2,2,2,"medium","small"
6868,"NOTEWORTHY",7000342.33,433352,0.0645691439439011,6,1350,25,225,1000,"small","small"
7005,"RIVER REGION",34592969.8,1463977,0.0430488042021704,5,37,5,7.4,14,"medium","small"
7047,"BRADFORD AREA",8843580,0,0,1,27,27,27,27,"small","small"
7414,"INGERSOLL-RAND",63527440.5,-113415,-0.00178369929561684,2,129,34,64.5,95,"large","small"
7466,"PORT TERMINAL",9538813,0,0,1,9,9,9,9,"small","small"
7474,"SPECIAL METALS",11234366,0,0,1,50,50,50,50,"medium","small"
7759,"WAKEFERN",12199455,0,0,1,500,500,500,500,"medium","small"
7796,"ROCKLAND EMPLOYEES",39841455,0,0,2,18,8,9,10,"medium","small"
