"","join_no","name","avg_assets","num_groups_added","total_members_added","cu_size"
"1",32,"STATE EMPLOYEES",5350243043.67,6,8063220,"Large"
"2",83,"THREE RIVERS",1882740406.78,76,57460467,"Large"
"3",105,"GTE",2718223024,3,14373204,"Large"
"4",290,"NUVISION",2781362228,1,1775609,"Large"
"5",316,"LAFAYETTE",1081169867.5,4,8e+06,"Large"
"6",426,"AFFINITY",3669455238.28,18,16632425,"Large"
"7",476,"NUSENDA",3669894425.63,19,6650000,"Large"
"8",513,"SOUTH CAROLINA",2338306843.5,24,44321243,"Large"
"9",625,"LANGLEY",3923158321,1,1600000,"Large"
"10",820,"EVANSVILLE TEACHERS",2696590210.88,696,234913578,"Large"
"11",835,"HAWAII STATE",2227012652.61,59,30826412,"Large"
"12",872,"HAWAIIUSA",2260939702.83,480,171267806,"Large"
"13",883,"ALOHA PACIFIC",1192445576.28,98,71538393,"Large"
"14",1075,"ADVANCIAL",2050013919.27,37,93003319,"Large"
"15",1135,"AMOCO",1241790565,6,23969646,"Large"
"16",1184,"POLICE & FIRE",7261904526.08,36,21600000,"Large"
"17",1389,"EMPOWER",2732655701.33,1187,1532236810,"Large"
"18",1435,"TRUITY",1009139223.88,8,1744000,"Large"
"19",1571,"COMMUNICATION",1713438877,1,272500,"Large"
"20",1807,"MEMBER ONE",1416771832.59,56,33508496,"Large"
"21",2379,"NORTHWEST",4342460939.82,39,45799760,"Large"
"22",2416,"KEESLER",4162399724.53,19,26830611,"Large"
"23",2444,"AMERICAN HERITAGE",3800890578.33,6,11020906,"Large"
"24",2514,"ANDREWS FEDERAL CREDIT UNION",2207140061,1,3200000,"Large"
"25",2565,"SANDIA LABORATORY",3410916677.47,79,17602076,"Large"
"26",2598,"ALASKA USA",10421548798.93,14,206447304,"Large"
"27",2749,"A+",2262831645.67,3,1420000,"Large"
"28",2808,"UNITED",3607304262.7,195,89211155,"Large"
"29",2831,"NASA",3499869408,16,8037642,"Large"
"30",3016,"MEMBERS 1ST",6181030837.95,869,2164122978,"Large"
"31",3379,"BLUE",1538560567.06,34,5453310,"Large"
"32",3397,"ASCEND",3466531789.17,12,42857633,"Large"
"33",3462,"HUGHES",1898154424,2,971580,"Large"
"34",3468,"REDSTONE",7315362747.11,38,78477322,"Large"
"35",3650,"TRULIANT",3614160362.75,8,49657574,"Large"
"36",3795,"RANDOLPH-BROOKS",14079550114.38,260,1059715199,"Large"
"37",3901,"TOWER",4012756119.5,18,3651869,"Large"
"38",4019,"FIRST FINANCIAL OF MARYLAND",1241377824.75,16,3301624,"Large"
"39",4065,"CAPITAL COMMUNICATIONS",2634503776.86,21,9712822,"Large"
"40",4131,"WRIGHT PATMAN CONGRESSIONAL",1230202898,2,144000,"Large"
"41",4290,"HANSCOM",1767529841.65,17,3203136,"Large"
"42",4590,"BARKSDALE",1981353520.79,85,50299515,"Large"
"43",4696,"EGLIN",2670295223.56,63,14814000,"Large"
"44",4806,"GROW FINANCIAL",3195157727,1,4886808,"Large"
"45",4811,"SAFE",1475103642,1,478237,"Large"
"46",5555,"APPLE",3793202548,1,1693669,"Large"
"47",5682,"SERVICE",5078733837.87,31,722542429,"Large"
"48",6764,"STANFORD",3856589326,1,1344353,"Large"
"49",8181,"UNIFY FINANCIAL",3572097192,12,8709530,"Large"
"50",9266,"USALLIANCE",2102303678.14,7,48179859,"Large"
"51",9632,"COASTAL",4239546402,9,22459050,"Large"
"52",9854,"PARTNERS",2406491487,1,461623,"Large"
"53",10173,"PURDUE",1728374702.17,12,4140000,"Large"
"54",10595,"FIRST TECHNOLOGY",14253535002,5,27775505,"Large"
"55",10641,"FRANKLIN MINT",1557665845.8,317,416321913,"Large"
"56",12593,"SHARONVIEW",1753192324.8,35,117899530,"Large"
"57",12603,"ELEMENTS FINANCIAL",2067936086.64,11,1925000,"Large"
"58",13408,"MICHIGAN STATE UNIVERSITY",6359226539,9,30150000,"Large"
"59",13650,"DIGITAL",9793323407,3,1.2e+07,"Large"
"60",14191,"FOUNDERS",3424597245.45,131,177201951,"Large"
"61",14362,"OPERATING ENGINEERS LOCAL UNION #3",1438289692,1,1e+05,"Large"
"62",14437,"RTN",1061791155.02,83,61005000,"Large"
"63",14451,"CHEVRON",4434296426.25,8,6797280,"Large"
"64",14548,"AMERICA FIRST",16052373505.09,79,908684772,"Large"
"65",14628,"CHARLOTTE METRO",1046830110,1,913562,"Large"
"66",14909,"NOBLE",1062453302.33,3,1581925,"Large"
"67",14993,"CREDIT HUMAN",3609963871.38,13,15750097,"Large"
"68",15178,"ALLEGACY",1932153352.08,12,25192793,"Large"
"69",15308,"S. C. STATE",1279956031,1,1500000,"Large"
"70",16602,"TINKER",5752175517.42,269,134500000,"Large"
"71",16634,"GOLDENWEST",2506598394,2,3740000,"Large"
"72",16757,"MOUNTAIN AMERICA",13399835955.89,193,3088876178,"Large"
