"","join_no","name","avg_assets","num_groups_added","total_members_added","cu_size"
"1",7,"THE NEW ORLEANS FIREMEN'S",227298148,9,478300,"Mid-Size"
"2",43,"CAMPUS",809215205,1,127520,"Mid-Size"
"3",91,"LOUISIANA",405220770.11,18,80554731,"Mid-Size"
"4",119,"MAGNOLIA",161590894.33,3,1737492,"Mid-Size"
"5",124,"INFIRST",224229744,2,2e+06,"Mid-Size"
"6",136,"ENERGY ONE",272709847,1,1e+05,"Mid-Size"
"7",219,"RAILROAD & INDUSTRIAL",448613295.52,67,29521236,"Mid-Size"
"8",222,"GREATER NEW ORLEANS",146958732.67,3,1674948,"Mid-Size"
"9",302,"PASADENA",235151322,1,30342,"Mid-Size"
"10",486,"GOLD COAST",251800476,1,547796,"Mid-Size"
"11",500,"SIERRA PACIFIC",171392366,1,27000,"Mid-Size"
"12",702,"MIDWEST AMERICA",794470548,4,1959552,"Mid-Size"
"13",707,"LONG BEACH CITY EMPLOYEES",331299902,1,12500,"Mid-Size"
"14",878,"HONOLULU",358855989.22,18,9e+05,"Mid-Size"
"15",966,"HORIZONS",142220314,20,3e+06,"Mid-Size"
"16",1012,"PRIMEWAY",655258584,3,16674696,"Mid-Size"
"17",1260,"NORTHEAST FAMILY",106826875.67,3,129429,"Mid-Size"
"18",1275,"USX",266597181.1,10,7e+05,"Mid-Size"
"19",1335,"CHICAGO PATROLMEN'S",519966795.89,56,50755700,"Mid-Size"
"20",1503,"SJP",120886833,1,20302,"Mid-Size"
"21",1511,"TRUENERGY",137580341,9,144600,"Mid-Size"
"22",1631,"NATIONAL INSTITUTES OF HEALTH",818500162,1,376530,"Mid-Size"
"23",1640,"PEOPLE'S ALLIANCE",332505245,3,1500000,"Mid-Size"
"24",1770,"SOUTH JERSEY",490354863,2,221494,"Mid-Size"
"25",1809,"SERVICE 1",186134666,3,1850775,"Mid-Size"
"26",1816,"GULF COAST",267190461,2,940308,"Mid-Size"
"27",2083,"NET",247215472.73,15,2363721,"Mid-Size"
"28",2121,"COOPERATIVE CENTER",142699280.5,2,1e+05,"Mid-Size"
"29",2144,"INOVA",549611871.78,101,42693996,"Mid-Size"
"30",2201,"COMMONWEALTH ONE",489178462,1,1025000,"Mid-Size"
"31",2313,"N R L",552672640.5,2,125466,"Mid-Size"
"32",2338,"FORT FINANCIAL",319427300,15,5250000,"Mid-Size"
"33",2371,"KAUAI GOVERNMENT EMPLOYEES",124676636.57,7,506051,"Mid-Size"
"34",2566,"CENTURY",476137325.5,4,1e+06,"Mid-Size"
"35",2626,"SOUTHERN SECURITY",228233451.25,12,825289,"Mid-Size"
"36",2944,"MERCK SHARP & DOHME",805965568.16,19,1169735,"Mid-Size"
"37",2974,"SYRACUSE FIRE DEPARTMENT EMPLOYEES",114215155,1,12125,"Mid-Size"
"38",2990,"ATLANTIC FINANCIAL",111344471,1,24815,"Mid-Size"
"39",2999,"FINANCIAL RESOURCES",567277507.58,80,17459352,"Mid-Size"
"40",3009,"AOD",416638501.57,155,36627391,"Mid-Size"
"41",3209,"SUN",652991280.11,18,20620611,"Mid-Size"
"42",3277,"LIBERTY SAVINGS",128348974,1,250000,"Mid-Size"
"43",3367,"CARIBE",541275869,1,47407,"Mid-Size"
"44",3499,"GREATER TEXAS",875899349,1,1e+06,"Mid-Size"
"45",3561,"PARTNERS 1ST",494424584.77,30,10526274,"Mid-Size"
"46",3609,"LOOKOUT",297237997,1,130000,"Mid-Size"
"47",3637,"EXCEL",146865952,2,216000,"Mid-Size"
"48",3825,"AIR FORCE",555436835,3,240000,"Mid-Size"
"49",4080,"MARRIOTT EMPLOYEES",188587156,1,534566,"Mid-Size"
"50",4160,"UKRAINIAN",341806166,1,45000,"Mid-Size"
"51",4186,"SUNBELT",285065170.75,4,1010708,"Mid-Size"
"52",4286,"UNIWYO",461592715,3,156000,"Mid-Size"
"53",4294,"PINAL COUNTY",228530096,1,462789,"Mid-Size"
"54",4320,"B-M S",109961454,1,10000,"Mid-Size"
"55",4328,"MERIDIAN TRUST",567542555.08,62,5268819,"Mid-Size"
"56",4529,"MC",208126993,22,772354,"Mid-Size"
"57",4619,"F A A",133739527,1,27000,"Mid-Size"
"58",4683,"FORTERA",709509599,3,1057489,"Mid-Size"
"59",4810,"REV",922792332,1,998753,"Mid-Size"
"60",5047,"1ST LIBERTY",226030745,1,115000,"Mid-Size"
"61",5349,"SERVU",415142262.2,20,2907208,"Mid-Size"
"62",5857,"BAYER HERITAGE",614032168.09,11,5315400,"Mid-Size"
"63",6071,"KIRTLAND",946128597.5,2,3e+05,"Mid-Size"
"64",6082,"USSCO JOHNSTOWN",161909266.16,57,1054500,"Mid-Size"
"65",6215,"DOVER",603703811.37,19,5080942,"Mid-Size"
"66",6354,"ABCO",260606409.78,9,9900000,"Mid-Size"
"67",6377,"PENN STATE",230967435.67,6,540000,"Mid-Size"
"68",6401,"FIRST COMMONWEALTH",987883846.37,264,84421562,"Mid-Size"
"69",6423,"SUCCESS",171706652.3,20,1635075,"Mid-Size"
"70",6521,"TCT",284103299,2,166900,"Mid-Size"
"71",6530,"MARINE",851027383,4,1088000,"Mid-Size"
