"","join_no","name","avg_assets","num_groups_added","total_members_added","cu_size"
"1",19,"FARMERS",19838054,1,14437,"Small"
"2",58,"KEMBA CHARLESTON",43950389,1,25000,"Small"
"3",197,"GEORGIA POWER NORTHWEST",75304661,1,10350,"Small"
"4",274,"SEI",29813099.33,3,18000,"Small"
"5",455,"PRR SOUTH FORK",52503278.67,3,18746,"Small"
"6",586,"FORT BILLINGS",71903280,4,64000,"Small"
"7",623,"BATON ROUGE FIRE DEPARTMENT",66489479.5,2,12000,"Small"
"8",670,"MERCER COUNTY NJ TEACHERS",40922239,1,25000,"Small"
"9",1000,"WICHITA FALLS TEACHERS",95175520,1,16000,"Small"
"10",1061,"PARLIN DUPONT EMPLOYEES",6553549,1,3500,"Small"
"11",1063,"UTICA GAS & ELECTRIC EMP",88874481,2,7400,"Small"
"12",1124,"G.A.P.",64036060.33,6,53078,"Small"
"13",1157,"JERSEY CENTRAL",22699638.5,2,160000,"Small"
"14",1185,"ALCOA PITTSBURGH",37261517,4,140000,"Small"
"15",1196,"MEMBER'S 1ST OF NJ",79188067,4,48000,"Small"
"16",1217,"MULTI-SCHOOLS",4816132,1,1244,"Small"
"17",1317,"PENLANCO",27226174,1,2675,"Small"
"18",1364,"PALCO FCU",99309039,1,19973,"Small"
"19",1416,"LITTLE ROCK",1746232,1,800,"Small"
"20",1608,"BAY ATLANTIC",82650300.25,4,47786,"Small"
"21",2682,"PROSPECTORS FCU",92745116,2,20000,"Small"
"22",2706,"VALEX",35674158.86,7,45500,"Small"
"23",2803,"PHB EMPLOYEES",8616492,1,4384,"Small"
"24",2888,"KRD",18823679,1,8500,"Small"
"25",3143,"CADETS",16064428,1,1300,"Small"
"26",3177,"CROSSROADS FINANCIAL",79542274.33,6,90000,"Small"
"27",3275,"SUMMIT",56834887,1,22100,"Small"
"28",3357,"LOUISIANA CATHOLIC",28172664,3,126000,"Small"
"29",3369,"BORINQUEN COMMUNITY",16847111,1,5000,"Small"
"30",3402,"SEG",21639829,4,12000,"Small"
"31",3477,"GLENDALE",98715219,1,10000,"Small"
"32",3517,"SEQUOIA",42320863,1,10000,"Small"
"33",3576,"GLENDIVE BN",28060274,2,8000,"Small"
"34",3697,"LIVE LIFE",74220377.55,89,445000,"Small"
"35",3720,"ST. THOMAS",79698262.75,12,96000,"Small"
"36",3729,"AFL CIO EMPLOYEES",53823977.75,4,6234400,"Small"
"37",3891,"CUTTING EDGE",61316714,1,6800,"Small"
"38",3995,"A C M G",86287453.33,6,522000,"Small"
"39",4123,"WESTERN HEALTHCARE",47708978,2,110000,"Small"
"40",4222,"DAVISON EMPLOYEES",3654117,5,12500,"Small"
"41",4631,"ROCKET CITY",63912616.75,4,56000,"Small"
"42",4639,"MORRISONS COVE 1ST",56845574,3,14820,"Small"
"43",4689,"N.F.G. #2",26927413,1,7000,"Small"
"44",4748,"EMERALD EMPIRE",30081078,1,5500,"Small"
"45",5010,"I B E W 26",31799027,2,14000,"Small"
"46",5083,"BOPTI",77021921,2,27202,"Small"
"47",5191,"CUSA",35047805,1,5000,"Small"
"48",5466,"ETMA",22193747,1,5169,"Small"
"49",5519,"PINPOINT",30421515,1,18000,"Small"
"50",5617,"LITHIUM",11149881,1,3000,"Small"
"51",5647,"EDGE",62249635,1,5690,"Small"
"52",5811,"PECO",4767143,1,1257,"Small"
"53",5926,"IBEW 76",26918612,1,22241,"Small"
"54",5938,"YOUR CHOICE",13588680,1,2700,"Small"
"55",6094,"FINANCIAL ACCESS",37780158.12,56,19723422,"Small"
"56",6172,"REFUGIO COUNTY",12924542,1,3000,"Small"
"57",6300,"PINE",56334398.25,4,29600,"Small"
"58",6395,"AMERICO",96783708,2,59498,"Small"
"59",6404,"PUERTO RICO EMPLOYEE GROUPS",3642649,1,1978,"Small"
"60",6442,"LEXINGTON AVENUE",27545064,5,9e+05,"Small"
"61",6624,"U. S. I.",16578740,1,3000,"Small"
"62",6641,"RIO BLANCO SCHOOLS",7470796,2,2000,"Small"
"63",6676,"FEDTRUST",46406851,2,28296,"Small"
"64",6868,"NOTEWORTHY",7251105,2,6000,"Small"
"65",7002,"PENNSTAR",54314565,2,15000,"Small"
"66",7005,"RIVER REGION",38594133.67,3,16800,"Small"
"67",7047,"BRADFORD AREA",9698830,1,3400,"Small"
"68",7231,"BAKER",42593865,1,105267,"Small"
"69",7332,"JACO",12176497,1,5715,"Small"
"70",7759,"WAKEFERN",12830427,1,10000,"Small"
"71",7796,"ROCKLAND EMPLOYEES",53812682,2,60000,"Small"
"72",7938,"SOUTHWEST FINANCIAL",74340280,1,25000,"Small"
"73",8150,"ISRAEL METHCOMM",1472254,5,2500,"Small"
"74",8390,"ROUTT",5532767,1,2500,"Small"
"75",8490,"NORTH MEMORIAL",49336138,1,25000,"Small"
"76",8592,"DC",79431215,3,150000,"Small"
"77",9108,"LAN-FAIR",66595680,2,24000,"Small"
"78",9817,"CALCOM",79363434,1,24500,"Small"
"79",10477,"CAROLINA",63664968,1,15445,"Small"
"80",10923,"N. J. LATVIAN",8940072,2,500,"Small"
"81",10978,"CAPITAL AREA REALTORS",22530591,1,10000,"Small"
"82",11030,"WALKER COUNTY EDUCATORS",13238792,1,2918,"Small"
"83",11425,"ALLEGHENY HEALTH SERVICES EMPLOYEES",16126349,1,7500,"Small"
"84",11582,"VERITAS",46596830,1,20000,"Small"
"85",11669,"BACK MOUNTAIN",10463782,1,1000,"Small"
"86",11706,"WYOCHEM",30269173,2,10950,"Small"
"87",11736,"UKRAINIAN SELFRELIANCE OF WEST. PA.",6374295,1,2000,"Small"
"88",11786,"U. H. S. EMPLOYEES",24826023.5,2,12000,"Small"
"89",13144,"PRESTON",31500281.67,6,11100,"Small"
"90",13291,"ELEMENT",43603486.8,5,325000,"Small"
"91",13405,"MARBLEHEAD MUNICIPAL",11819400,1,2050,"Small"
"92",13515,"ACCLAIM",56361165,2,58356,"Small"
"93",13866,"CONSUMER 1ST",17500595,1,2000,"Small"
"94",13994,"SYRACUSE COOPERATIVE",32209695,1,142327,"Small"
"95",14171,"MESSIAH BAPTIST-JUBILEE",1074091,1,500,"Small"
"96",14236,"INDIANA HEARTLAND",26061141,1,6000,"Small"
"97",14319,"BEVERLY MUNICIPAL",14580947,1,5500,"Small"
"98",14359,"LOWER EAST SIDE PEOPLE'S",83777215.78,9,9e+05,"Small"
"99",14586,"BLUE CHIP",43055489,1,6000,"Small"
"100",14589,"PRECISION",24866541,1,7000,"Small"
"101",14845,"WESTERN HERITAGE",67016221,2,192678,"Small"
"102",15031,"WHITE COUNTY",16919009,1,4000,"Small"
"103",16231,"WELCOME",99745243,2,290396,"Small"
"104",17547,"LAKE COUNTY EDUCATIONAL",35210928,1,10000,"Small"
"105",17767,"CAROLINA COOPERATIVE",52926579.8,5,5e+05,"Small"
"106",17980,"NATURAL STATE",6629617,2,5000,"Small"
"107",18036,"THE NEW HORIZONS",13832010,1,12000,"Small"
"108",23853,"LIFE",41800971,1,14000,"Small"
"109",26218,"HANIN",32821749,2,9400,"Small"
"110",26456,"CLEAN ENERGY",26451027,3,159000,"Small"
"111",26465,"CAPITAL",6100270,1,2e+05,"Small"
