CreditUnion,LID,CDFI,MDI
CU1,1,1,1
CU2,1,1,1
CU3,1,1,1
CU4,1,1,1
CU5,1,1,1
CU6,1,1,1
CU7,1,1,1
CU8,1,1,1
CU9,1,1,1
CU10,1,1,1
CU11,1,1,1
CU12,1,1,1
CU13,1,1,1
CU14,1,1,1
CU15,1,1,1
CU16,1,1,1
CU17,1,1,1
CU18,1,1,1
CU19,1,1,1
CU20,1,1,1
CU21,1,1,1
CU22,1,1,1
CU23,1,1,1
CU24,1,1,1
CU25,1,1,1
CU26,1,1,1
CU27,1,1,1
CU28,1,1,1
CU29,1,1,1
CU30,1,1,1
CU31,1,1,1
CU32,1,0,1
CU33,1,0,1
CU34,1,0,1
CU35,1,0,1
CU36,1,0,1
CU37,1,0,1
CU38,1,0,1
CU39,1,0,1
CU40,1,0,1
CU41,1,0,1
CU42,1,0,1
CU43,1,0,1
CU44,1,0,1
CU45,1,0,1
CU46,1,0,1
CU47,1,0,1
CU48,1,0,1
CU49,1,0,1
CU50,1,0,1
CU51,1,0,0
CU52,1,0,0
CU53,1,0,0
CU54,1,0,0
CU55,1,0,0
CU56,1,0,0
CU57,1,0,0
CU58,1,0,0
CU59,1,0,0
CU60,1,0,0
CU61,1,0,0
CU62,1,0,0
CU63,1,0,0
CU64,1,0,0
CU65,1,0,0
CU66,1,0,0
CU67,1,0,0
CU68,1,0,0
CU69,1,0,0
CU70,1,0,0
CU71,1,0,0
CU72,1,0,0
CU73,1,0,0
CU74,1,0,0
CU75,1,0,0
CU76,1,0,0
CU77,1,0,0
CU78,1,0,0
CU79,1,0,0
CU80,1,0,0
CU81,1,0,0
CU82,1,0,0
CU83,1,0,0
CU84,1,0,0
CU85,1,0,0
CU86,1,0,0
CU87,1,0,0
CU88,1,0,0
CU89,1,0,0
CU90,1,0,0
CU91,1,0,0
CU92,1,0,0
CU93,1,0,0
CU94,1,0,0
CU95,1,0,0
CU96,1,0,0
CU97,1,0,0
CU98,1,0,0
CU99,1,0,0
CU100,1,0,0
CU101,1,0,0
CU102,1,0,0
CU103,1,0,0
CU104,1,0,0
CU105,1,0,0
CU106,1,0,0
CU107,1,0,0
CU108,1,0,0
CU109,1,0,0
CU110,1,0,0
CU111,1,0,0
CU112,1,0,0
CU113,1,0,0
CU114,1,0,0
CU115,1,0,0
CU116,1,0,0
CU117,1,0,0
CU118,1,0,0
CU119,1,0,0
CU120,1,0,0
CU121,1,0,0
CU122,1,0,0
CU123,1,0,0
CU124,1,0,0
CU125,1,0,0
CU126,1,0,0
CU127,1,0,0
CU128,1,0,0
CU129,1,0,0
CU130,1,0,0
CU131,1,0,0
CU132,1,0,0
CU133,1,0,0
CU134,1,0,0
CU135,1,0,0
CU136,1,0,0
CU137,1,0,0
CU138,1,0,0
CU139,1,0,0
CU140,1,0,0
CU141,1,0,0
CU142,1,0,0
CU143,1,0,0
CU144,1,0,0
CU145,1,0,0
CU146,1,0,0
CU147,1,0,0
CU148,1,0,0
CU149,1,0,0
CU150,1,0,0
CU151,1,0,0
CU152,1,0,0
CU153,1,0,0
CU154,1,0,0
CU155,1,0,0
CU156,1,0,0
CU157,1,0,0
CU158,1,0,0
CU159,1,0,0
CU160,1,0,0
