state,fill_rate,total_members,board_white,board_black,board_api,board_native,board_mult,board_hisp,state_white,state_black,state_api,state_native,state_mult,state_hisp,diff_white,diff_black,diff_api,diff_native,diff_mult,diff_hisp,diff_avg
`-- National --,98.5,33270,83.4,10.1,1.58,0.24,0.24,4.47,60,12.4,5.8,0.7,2.8,18.4,23.4,-2.3,-4.22,-0.46,-2.56,-13.93,7.81
Alabama,98.7,618,69.58,29.77,0.16,0,0,0.49,65.1,26.8,1.3,0.4,1.9,4.5,4.48,2.97,-1.14,-0.4,-1.9,-4.01,2.48
Alaska,100,65,87.69,1.54,0,7.69,1.54,1.54,59.8,3,7.2,15.5,7.3,7.2,27.89,-1.46,-7.2,-7.81,-5.76,-5.66,9.3
Arizona,100,256,68.75,0,0.78,16.02,0.78,13.67,54,4.4,3.4,4,2.5,31.7,14.75,-4.4,-2.62,12.02,-1.72,-18.03,8.92
Arkansas,100,317,77.6,21.77,0.32,0,0,0.32,72,15.4,1.9,0.5,2.5,7.7,5.6,6.37,-1.58,-0.5,-2.5,-7.38,3.99
California,98.3,1838,70.73,3.05,7.34,0,0.33,18.55,36.3,5.5,15,0.4,3.4,39.4,34.43,-2.45,-7.66,-0.4,-3.07,-20.85,11.48
Colorado,99.2,474,92.83,0.84,0.63,0,0,5.7,67.5,4,3.3,0.6,2.8,21.8,25.33,-3.16,-2.67,-0.6,-2.8,-16.1,8.44
Connecticut,97.9,558,84.77,10.22,0.18,0,0,4.84,65.6,10.1,4.7,0.2,2.5,16.9,19.17,0.12,-4.52,-0.2,-2.5,-12.06,6.43
Delaware,100,114,79.82,17.54,1.75,0,0,0.88,61.3,22,3.8,0.3,3,9.6,18.52,-4.46,-2.05,-0.3,-3,-8.72,6.18
District of Columbia,100,265,56.6,33.21,4.15,0,0,6.04,37.3,44.1,4,0.2,3,11.3,19.3,-10.89,0.15,-0.2,-3,-5.26,6.47
Florida,99.5,822,76.28,16.06,0.12,0,0.12,7.42,53,15.2,2.8,0.2,2.4,26.4,23.28,0.86,-2.68,-0.2,-2.28,-18.98,8.05
Georgia,98.7,709,68.69,29.34,1.27,0,0.14,0.56,51.9,31.5,4.2,0.2,2.4,9.8,16.79,-2.16,-2.93,-0.2,-2.26,-9.24,5.6
Hawaii,97.1,267,17.98,0,61.05,0,17.6,3.37,21.5,1.8,48,0.2,17.8,10.7,-3.52,-1.8,13.05,-0.2,-0.2,-7.33,4.35
Idaho,96.9,155,96.77,0.65,0,0,0,2.58,81.6,0.7,1.5,1.1,2.3,12.8,15.17,-0.05,-1.5,-1.1,-2.3,-10.22,5.06
Illinois,97.9,1593,82.86,13.25,0.5,0,0.06,3.33,60.7,13.9,5.6,0.1,2.2,17.5,22.16,-0.65,-5.1,-0.1,-2.14,-14.17,7.39
Indiana,99.3,895,92.74,5.25,0.45,0,0,1.56,78.3,9.4,2.6,0.2,2.3,7.2,14.44,-4.15,-2.15,-0.2,-2.3,-5.64,4.81
Iowa,99,589,98.3,1.02,0,0,0,0.68,85.1,4,2.4,0.3,1.9,6.3,13.2,-2.98,-2.4,-0.3,-1.9,-5.62,4.4
