"","JOIN_NUMBER","assets","years","highest_degree"
"1",21,987846264,10,"Master's"
"2",29,137778851,29,"Bachelor's"
"3",33,70361823,15,"Bachelor's"
"4",36,35845442,22,"Doctorate's"
"5",41,210727086,22,"Master's"
"6",43,834604680,26,"Bachelor's"
"7",46,294707748,34,"Master's"
"8",50,173302747,13,"Bachelor's"
"9",70,83066802,34,"Bachelor's"
"10",88,41745143,20,"Master's"
"11",91,424946738,9,"Bachelor's"
"12",93,510833290,37,"Master's"
"13",99,965406026,40,"Bachelor's"
"14",100,30004305,4,"Bachelor's"
"15",103,651330921,18,"Bachelor's"
"16",104,14795934,4,"Master's"
"17",116,84563901,7,"Master's"
"18",119,161351755,7,"Master's"
"19",166,112444064,11,"Bachelor's"
"20",168,104374860,7,"Master's"
"21",174,115927749,29,"Master's"
"22",182,14432811,34,"Associate's"
"23",183,555117028,18,"Bachelor's"
"24",192,197027524,31,"Bachelor's"
"25",193,544682421,16,"Bachelor's"
"26",197,73975968,17,"Master's"
"27",214,155315377,26,"Bachelor's"
"28",217,95877080,27,"Master's"
"29",240,36705440,23,"Master's"
"30",246,97101684,29,"Master's"
"31",252,179603105,3,"Bachelor's"
"32",255,239876053,24,"Master's"
"33",272,11320403,14,"Bachelor's"
"34",302,235313302,21,"Master's"
"35",309,23946432,20,"Bachelor's"
"36",342,278864286,22,"Master's"
"37",349,17726415,35,"Bachelor's"
"38",366,107478360,7,"Bachelor's"
"39",386,95046452,16,"Bachelor's"
"40",433,149548762,18,"Bachelor's"
"41",465,130724302,5,"Master's"
"42",482,253852218,24,"Master's"
"43",485,78355736,40,"Doctorate's"
"44",489,53794800,17,"Bachelor's"
"45",509,259610685,33,"Bachelor's"
"46",539,140098236,15,"Bachelor's"
"47",551,132054132,26,"Bachelor's"
"48",555,12033564,24,"Master's"
"49",557,410181892,8,"Bachelor's"
"50",567,114156254,4,"Bachelor's"
"51",575,292007576,29,"Bachelor's"
"52",581,14774504,23,"Bachelor's"
