Year,Assets_Inflation_Adj,Assets_2021_Dollars,Asset_Growth_Merg,Asset_Growth_Merg_Peers,Asset_Growth_5yr,Asset_Growth_5yr_Peers,Member_Deposits,Nonmember_Deposits,Nondeposit_Liabilities,Nonmember_Deposits_Perc,Net_Worth_Perc,Nondeposit_Liabilities_Perc,Member_Deposit_Growth_Perc,Potential_Members,Actual_Members,Excess_Potential_Members_Peers,Excess_Potential_Members,Num_Employees,Num_Branches,Employees_Per_100M_Assets,Employees_Per_100M_Assets_Peers,Product_Breadth,Product_Breadth_Peers,Branches_Per_100M_Assets,Branches_Per_100M_Assets_Peers,Marketing_Perc,Marketing_Perc_Peers,Deposit_Benefits,Deposit_Benefits_Peers,Noninterest_Income_Perc,Noninterest_Income_Perc_Peers,Loans_Perc,Loans_Perc_Peers,NIM_Perc,NIM_Perc_Peers,Noninterest_Expense_Perc,Noninterest_Expense_Perc_Peers,Pseudo_NIM,Pseudo_NIM_Peers,Delinquency_Perc,Delinquency_Perc_Peers,Loan_Benefits,Loan_Benefits_Peers,Provisions_Perc,Provisions_Perc_Peers,Net_Charge_Offs_Perc,Allowance_Perc,Net_Worth_Perc_Peers,ROA,ROA_Peers,Total_Capital_Perc,Retained_Earnings_Perc,Secondary_Capital_Perc,Auto_Loans_Perc,Business_Loans_Perc,Real_Estate_Loans_Perc,Unsecured_Loans_Perc,Other_Loans_Perc
1980,39.083,126.2601408,0.22288,15.47377,,,36.9,0,0.4,,4.65892,0.93768,6.96,20,15.605,94.88708,28.16405,,,,,,,,,0.11301,0.06233,0.34000,0.10922,0.02781,0.11772,88.23703,69.86720,2.97124,3.52842,2.80308,2.84682,2.88147,4.5,1.59731,0.76520,0.47000,2.77243,1.10255,0.60930,0.43,0.80454,3.59778,-0.88779,0.17633,5.46346,4.65892,,,,0.00000,,
1981,38.92,115.4387605,-0.41778,9.69161,,,36.4,0,0.7,,4.79615,1.72393,-1.36,24,20.373,81.22018,17.80297,,,,,,,,,0.10077,0.06873,-1.94978,-2.80132,0.06262,0.42038,91.25994,69.58913,4.37856,3.74171,3.72788,3.04462,3.92867,4.0,2.47451,0.67428,3.09000,2.97418,0.89358,0.51015,0.78,0.91842,3.83530,-0.18000,0.62065,5.71457,4.79615,,,,0.00000,,
1982,41.926,119.7630312,7.72354,15.34956,,,38.9,0,0.8,,5.44955,1.82241,6.87,55,24.912,73.34249,120.77714,48,,4.00791459,3.145818562,,,,,0.09,0.079265,-0.14005,-2.53845,0.078455,0.47013,80.58802,70.23543,5.87961,4.05247,4.50836,3.31243,6.45373,4.4,1.52669,0.55877,0.15,1.14298,0.43607,0.20707,0.84,0.50984,4.39434,0.97947,1.12355,5.95939,5.44955,,,,0,,
1983,54.885,151.0604754,30.90878,22.94833,,,51.5,0,0.7,,4.92532,1.22429,32.39,55,26.691,12.52565,106.06197,58,,3.839521878,2.615106484,,,,,0.06,0.089441,1.16856,0.25322,0.061495,0.45752,62.05498,61.00782,5.70617,4.08519,4.33455,3.25289,8.33849,5.5,1.05914,0.55386,-0.62,-0.029273,0.54679,0.2404,0.74,0.31707,4.92843,0.86452,1.09238,5.24239,4.92532,,,,0,,
1984,64.327,170.3163242,17.20254,15.07536,11.1,15.707726,60.5,0,0.9,,4.54931,1.37951,17.48,47.988,22.7,68.59597,111.40266,64,,3.72835665,2.372863384,,,,,0.03,0.057165,-1.60809,-0.023059,0.064383,0.47643,64.66532,70.04268,4.9138,3.81163,4.2284,2.95044,5.04584,3.9,0.63599,0.78364,-2.03,-0.45146,0.39282,0.27411,0.48,0.23199,5.34925,0.37439,1.06564,4.7813,4.54931,,,,0,,
1985,66.576,169.8239568,2.66892,21.08239,11.6,16.82945,63.1,0,0.7,,4.25911,1.02749,3.47,50.711,23.397,99.42567,116.74335,61,,3.562512683,2.156720205,,,,,0.03,0.058205,-0.64276,0.68518,0.21396,0.55093,82.46631,61.50588,4.77399,3.47574,4.46669,2.65787,4.43356,4.6,0.95564,0.96615,-2.55633,0.1532,0.50389,0.37575,0.50,0.23928,5.56569,-0.1383,0.99314,4.49839,4.25911,,,,,,
1986,79.513,200.6183299,19.43138,20.99799,15.6,19.090726,71.7,0,4.4,,4.20608,5.58637,13.63,50,22.514,106.22218,122.08404,54,,2.666755327,1.940617275,,,,,0.03,0.052267,0.0827,0.80456,0.30286,0.52931,76.88761,55.6588,4.58614,3.22463,3.66122,2.49666,5.44249,5.1,0.66311,1.11105,-0.43564,0.75276,0.49002,0.63953,0.53,0.19972,5.19204,0.69659,0.64689,4.4058,4.20608,,8.43096,0,2.227708,8.2,58.037442
1987,86.638,209.3096858,8.9606,10.29441,15.8,18.079696,81.6,0,0.8,,4.91895,0.91109,13.81,50,23.824,141.22404,109.8724,58,,2.771013667,1.979715609,,,,,0.10,0.055218,1.07613,0.83537,0.48819,0.54233,81.6256,57.90598,4.38104,3.31811,3.43708,2.46788,4.65718,4.4,0.42012,0.71963,-0.39038,0.5634,0.33684,0.33659,0.30,0.23546,5.90688,1.10417,1.06542,5.15441,4.91895,,6.32962,0,1.210567,8.0,66.061943
1988,131.67,304.6470098,51.98028,10.21483,20,15.532996,125.3,0,1.2,,3.97799,0.89397,53.55,50.507,25.571,121.32604,97.518505,59,,1.920255184,1.984626225,,,,,0.20,0.055306,0.6896,1.01298,0.52306,0.55617,61.46708,60.94929,3.82824,3.1954,3.31674,2.45595,5.95721,3.9,0.22556,0.74388,-0.7562,0.72907,0.14009,0.45013,0.22,0.15493,6.04016,0.89437,0.93538,4.13292,3.97799,,3.44554,0,1.826194,5.7,50.508696
1989,137.97,305.0537482,4.78436,7.36613,17.6,13.99115,124.4,0,6.7,0,5.01706,4.84762,-0.72,50,27.003,155.54086,85.16461,65,,2.130772049,2.120340063,,,,,0.16,0.061014,-0.23313,0.53609,0.41259,0.57692,73.20121,63.99965,3.79689,3.13928,2.87544,2.50924,3.09639,3.9,0.14858,0.73141,0.059781,0.99907,0.0863,0.42483,0.09,0.14786,6.29753,1.24921,0.80824,5.16492,5.01706,,4.15187,0,9.73176,6.5,52.84889
