,Assets_Inflation_Adj,Assets_2021_Dollars,Asset_Growth_Merg,Asset_Growth_Merg_Peers,Asset_Growth_5yr,Asset_Growth_5yr_Peers,Net_Worth_Perc,Potential_Members,Actual_Members,Excess_Potential_Members_Peers,Excess_Potential_Members,Num_Employees,Num_Branches,Employees_Per_100M_Assets,Employees_Per_100M_Assets_Peers,Product_Breadth,Product_Breadth_Peers,Branches_Per_100M_Assets,Branches_Per_100M_Assets_Peers,Marketing_Perc,Marketing_Perc_Peers,Deposit_Benefits,Deposit_Benefits_Peers,Noninterest_Income_Perc,Noninterest_Income_Perc_Peers,Loans_Perc,Loans_Perc_Peers,NIM_Perc,NIM_Perc_Peers,Noninterest_Expense_Perc,Noninterest_Expense_Perc_Peers,Pseudo_NIM,Pseudo_NIM_Peers,Delinquency_Perc,Delinquency_Perc_Peers,Loan_Benefits,Loan_Benefits_Peers,Provisions_Perc,Provisions_Perc_Peers,Net_Charge_Offs_Perc,Allowance_Perc,Net_Worth_Perc_Peers,ROA,ROA_Peers,Auto_Loans_Perc,Business_Loans_Perc,Real_Estate_Loans_Perc,Unsecured_Loans_Perc,Other_Loans_Perc
1980,36.954,12.244,23.91589,8.47722,,,6.53841,15,8.638,58.95186,73.65131,,2,,,,,5.412134004,3.606858616,0.00075935,0.094081,0.34,0.21,0.09312,0.18531,47.71768,64.94614,6.06025,3.22589,2.67515,2.78466,9.04777,4.37363,1.08092,1.49315,0.47,1.91,0.056816,0.27745,0.040866,0.05527,5.47,3.42,0.34,,,,,
1981,33.207,11.984,-2.1232,4.79425,,,8.90847,20,10.306,65.3087,94.06171,,,,,,,,,0.038898,0.099959,-0.95,-2.43,0.87627,0.33181,66.50913,64.35564,6.64845,3.92462,4.52985,3.11596,6.00006,4.0426,1.60514,1.636,0.09,2.18,0.50421,0.26317,0.40575,0.15373,5.97,2.29,0.89,,,,,
1982,48.695,18.246,52.25865,16.92058,,,6.26261,20,11.871,74.55793,68.4778,29,,5.955436903,3.062580263,,,,,0.023209,0.10449,-1.06,-1.83,0.042025,0.26589,58.87971,57.24599,6.03068,4.22002,4.83535,3.31648,6.78884,5.22739,0.71305,1.1744,0.65,1.07,0.21171,0.24621,0.275213,0.090227,5.82,1.03,0.89,,,,,
1983,75.631,29.413,61.20313,19.82762,,,4.91368,20,13.161,115.01096,51.96414,28.5,,3.768296069,2.860042918,,,,,0.0090433,0.098387,0.41,0.37,0.039669,0.31931,51.77957,52.21335,5.08637,4.08032,3.67998,3.26867,6.50896,6.2542,0.85902,0.9135,-1.12,0.13,0.17625,0.20388,0.192317,0.07416,5.56,1.27,0.95,,,,,
1984,93.474,37.788,28.47244,16.52329,32.7,13.308592,5.39518,20,14.785,139.38682,35.27224,48.5,,5.188608597,2.910574456,,,,,0.0058302,0.099604,0.44,-0.06,0.24874,0.39067,70.91153,62.94595,5.54204,4.19249,3.73934,3.1812,4.17788,4.39982,1.22927,0.96355,-1.53,-0.53,0.27083,0.20515,0.298176,0.046814,5.72,1.78,1.22,,,,,
1985,130.56,54.787,44.98507,25.46156,37,16.70546,4.48809,20,16.697,214.14393,19.782,52.5,,4.021139706,2.785374281,,,,,0.0030894,0.10788,0.59,0.59,1.07102,0.62205,53.40111,60.16232,4.00871,4.0819,3.61254,3.09516,6.66306,5.21071,0.76643,0.97636,-0.56,-0.57,0.5185,0.26339,0.442244,0.12307,5.76,0.95,1.28,,,,,
1986,164.07,69.601,27.03866,20.82894,42.8,19.912398,4.24152,20,17.66,239.12159,13.25028,58,,3.535076492,2.569590444,,,,,0.060294,0.10175,0.30,0.49,0.36934,0.49749,44.28839,58.11649,4.11485,3.77899,3.16818,2.96482,7.24626,5.17155,0.80262,1.00714,1.05,0.06,0.4502,0.34087,0.43829,0.13498,5.81,0.87,1.10,21.44119,0,3.20528,14.17729,5.46463
1987,179.65,79.592,14.35458,9.50483,35.2,18.429248,4.50055,30,19.735,221.58868,52.01419,61.5,,3.423323128,2.677859578,,,,,0.013036,0.098457,0.80,0.70,0.40658,0.53712,54.24984,61.68307,3.84081,3.80236,2.9801,2.97747,4.67022,4.64528,0.33863,0.95088,-0.01,0.24,0.42227,0.37337,0.38782,0.16943,6.21,0.84,0.98,21.32951,0,9.50528,16.6721,6.74295
1988,184.86,85.521,7.44954,8.70665,24.5,16.205054,5.63841,30,22.152,239.47052,35.42795,66.5,5,3.597316888,2.742994236,,,,1.794727962,0.021538,0.10066,0.85,0.73,0.63257,0.55376,60.74649,64.38134,4.50127,3.8338,3.27284,2.99615,5.72148,4.53005,0.40533,0.97287,-0.11,0.14,0.35886,0.38801,0.17989,0.3484,6.51,1.50,1.01,23.93422,0,10.01339,20.02808,6.7708
1989,180.48,87.372,2.16412,5.82213,19.2,14.064822,6.56636,30,24.59,309.77302,22.00081,80,,4.432624113,2.825506341,,,,,0.019126,0.10017,1.39,0.22,0.75562,0.60014,65.07688,65.61886,4.34171,3.82846,3.68074,3.09046,5.98555,4.57549,0.18734,1.02963,0.24,0.49,0.3586,0.45099,0.58262,0.12438,6.98,1.06,0.91,29.03285,0,9.9602,19.34286,6.74097
